Day,Month,Year,Latitude,Longitude,Acres,County,AgencyCode,Source,DDLat,DDLon,ORIG_OID
8,8,2018,21.478036,-158.217688,3,Oahu,2018_OA_0047340, ,21.47803600N,158.21768800W,2314
13,9,2012,21.477981,-158.217668,0.1,Oahu,2012_OA_0046914, ,21.47798100N,158.21766800W,2315
6,8,2014,21.477981,-158.217668,0.05,Oahu,2014_OA_0041290, ,21.47798100N,158.21766800W,2316
3,1,2006,21.4779663,-158.2176666,500,Oahu,OA335,Honolulu Fire Dept,21.47796630N,158.21766660W,2317
11,7,2005,21.4779663,-158.2176666,10,Oahu,OA332,Honolulu Fire Dept,21.47796630N,158.21766660W,2318
12,7,2002,21.4779663,-158.2176666,2,Oahu,OA320,Honolulu Fire Dept,21.47796630N,158.21766660W,2319
21,6,2005,21.4779663,-158.2176666,1,Oahu,OA330,Honolulu Fire Dept,21.47796630N,158.21766660W,2320
9,7,2003,21.4779663,-158.2176666,0.5,Oahu,OA321,Honolulu Fire Dept,21.47796630N,158.21766660W,2321
8,8,2003,21.4779663,-158.2176666,0.5,Oahu,OA324,Honolulu Fire Dept,21.47796630N,158.21766660W,2322
18,7,2003,21.4779663,-158.2176666,0.2,Oahu,OA322,Honolulu Fire Dept,21.47796630N,158.21766660W,2323
21,9,2004,21.4779663,-158.2176666,0.2,Oahu,OA327,Honolulu Fire Dept,21.47796630N,158.21766660W,2324
4,7,2005,21.4779663,-158.2176666,0.2,Oahu,OA331,Honolulu Fire Dept,21.47796630N,158.21766660W,2325
9,8,2005,21.4779663,-158.2176666,0.2,Oahu,OA333,Honolulu Fire Dept,21.47796630N,158.21766660W,2326
2,11,2005,21.4779663,-158.2176666,0.2,Oahu,OA334,Honolulu Fire Dept,21.47796630N,158.21766660W,2327
2,1,2007,21.4779663,-158.2176666,0.2,Oahu,OA339,Honolulu Fire Dept,21.47796630N,158.21766660W,2328
25,8,2001,21.4779663,-158.2176666,0.1,Oahu,OA317,Honolulu Fire Dept,21.47796630N,158.21766660W,2329
12,6,2002,21.4779663,-158.2176666,0.1,Oahu,OA318,Honolulu Fire Dept,21.47796630N,158.21766660W,2330
4,7,2002,21.4779663,-158.2176666,0.1,Oahu,OA319,Honolulu Fire Dept,21.47796630N,158.21766660W,2331
21,7,2003,21.4779663,-158.2176666,0.1,Oahu,OA323,Honolulu Fire Dept,21.47796630N,158.21766660W,2332
12,9,2003,21.4779663,-158.2176666,0.1,Oahu,OA325,Honolulu Fire Dept,21.47796630N,158.21766660W,2333
13,7,2004,21.4779663,-158.2176666,0.1,Oahu,OA326,Honolulu Fire Dept,21.47796630N,158.21766660W,2334
19,10,2004,21.4779663,-158.2176666,0.1,Oahu,OA328,Honolulu Fire Dept,21.47796630N,158.21766660W,2335
4,6,2005,21.4779663,-158.2176666,0.1,Oahu,OA329,Honolulu Fire Dept,21.47796630N,158.21766660W,2336
6,1,2006,21.4779663,-158.2176666,0.1,Oahu,OA336,Honolulu Fire Dept,21.47796630N,158.21766660W,2337
12,1,2006,21.4779663,-158.2176666,0.1,Oahu,OA337,Honolulu Fire Dept,21.47796630N,158.21766660W,2338
1,7,2006,21.4779663,-158.2176666,0.1,Oahu,OA338,Honolulu Fire Dept,21.47796630N,158.21766660W,2339
18,8,2007,21.4779663,-158.2176666,0.1,Oahu,OA340,Honolulu Fire Dept,21.47796630N,158.21766660W,2340
20,4,2008,21.4779663,-158.2176666,0.1,Oahu,OA341,Honolulu Fire Dept,21.47796630N,158.21766660W,2341
30,6,2008,21.4779663,-158.2176666,0.1,Oahu,OA342,Honolulu Fire Dept,21.47796630N,158.21766660W,2342
14,1,2002,21.4722786,-158.2173309,0.1,Oahu,OA344,Honolulu Fire Dept,21.47227860N,158.21733090W,2343
31,7,2014,21.478641,-158.217162,0.1,Oahu,2014_OA_0040047, ,21.47864100N,158.21716200W,2344
5,7,2004,21.4753838,-158.2171021,0.1,Oahu,OA345,Honolulu Fire Dept,21.47538380N,158.21710210W,2345
30,10,2003,21.4717388,-158.2170105,0.1,Oahu,OA346,Honolulu Fire Dept,21.47173880N,158.21701050W,2346
15,11,2001,21.4671478,-158.2169647,0.1,Oahu,OA347,Honolulu Fire Dept,21.46714780N,158.21696470W,2347
7,8,2018,21.474956,-158.216814,0.01,Oahu,2018_OA_0047024, ,21.47495600N,158.21681400W,2348
13,8,2018,21.478861,-158.216788,10,Oahu,2018_OA_0048479, ,21.47886100N,158.21678800W,2349
30,7,2006,21.4749813,-158.2167664,0.1,Oahu,OA348,Honolulu Fire Dept,21.47498130N,158.21676640W,2350
16,10,2017,21.470532,-158.216313,0.01,Oahu,2017_OA_0061987, ,21.47053200N,158.21631300W,2351
4,7,2006,21.4720631,-158.2163086,0.2,Oahu,OA349,Honolulu Fire Dept,21.47206310N,158.21630860W,2352
19,5,2001,21.4757385,-158.2158661,0.1,Oahu,OA350,Honolulu Fire Dept,21.47573850N,158.21586610W,2353
24,1,2008,21.4723034,-158.2158051,0.1,Oahu,OA351,Honolulu Fire Dept,21.47230340N,158.21580510W,2354
15,5,2001,21.4755478,-158.2157593,1.5,Oahu,OA352,Honolulu Fire Dept,21.47554780N,158.21575930W,2361
10,10,2005,21.4689198,-158.2155151,0.1,Oahu,OA353,Honolulu Fire Dept,21.46891980N,158.21551510W,2362
22,3,2010,21.4718018,-158.2154388,0.1,Oahu,OA354,Honolulu Fire Dept,21.47180180N,158.21543880W,2363
25,8,2019,21.47427,-158.215413,0.01,Oahu,2019_OA_0053939, ,21.47427000N,158.21541300W,2364
21,8,2018,21.475061,-158.215379,0.2,Oahu,2018_OA_0050112, ,21.47506100N,158.21537900W,2365
18,3,2008,21.4736881,-158.2150879,0.1,Oahu,OA355,Honolulu Fire Dept,21.47368810N,158.21508790W,2366
3,4,2008,21.4736881,-158.2150879,0.1,Oahu,OA356,Honolulu Fire Dept,21.47368810N,158.21508790W,2367
2,5,2001,21.4724941,-158.2150879,0.1,Oahu,OA357,Honolulu Fire Dept,21.47249410N,158.21508790W,2368
22,8,2003,21.5792637,-158.2149506,2,Oahu,OA358,Honolulu Fire Dept,21.57926370N,158.21495060W,2369
5,9,2003,21.5792637,-158.2149506,0.5,Oahu,OA359,Honolulu Fire Dept,21.57926370N,158.21495060W,2370
1,1,2006,21.4677868,-158.21492,0.2,Oahu,OA360,Honolulu Fire Dept,21.46778680N,158.21492000W,2371
15,6,2005,21.4734688,-158.2148895,0.1,Oahu,OA361,Honolulu Fire Dept,21.47346880N,158.21488950W,2372
25,5,2012,21.474053,-158.214449,0.5,Oahu,2012_OA_0026439, ,21.47405300N,158.21444900W,2373
9,2,2003,21.4740391,-158.214447,0.1,Oahu,OA362,Honolulu Fire Dept,21.47403910N,158.21444700W,2374
10,4,2009,21.4740391,-158.214447,0.02,Oahu,OA363,Honolulu Fire Dept,21.47403910N,158.21444700W,2375
10,7,2002,21.4740677,-158.2144165,1,Oahu,OA365,Honolulu Fire Dept,21.47406770N,158.21441650W,2376
24,8,2018,21.474073,-158.214416,0.01,Oahu,2018_OA_0050774, ,21.47407300N,158.21441600W,2377
19,1,2016,21.4708,-158.214279,0.4,Oahu,2016_OA_0003821, ,21.47080000N,158.21427900W,2378
16,8,2018,21.474246,-158.214221,0.2,Oahu,2018_OA_0049142, ,21.47424600N,158.21422100W,2379
22,3,2003,21.4742546,-158.2142181,0.1,Oahu,OA366,Honolulu Fire Dept,21.47425460N,158.21421810W,2380
3,8,2004,21.4736252,-158.2140808,0.1,Oahu,OA367,Honolulu Fire Dept,21.47362520N,158.21408080W,2381
30,5,2014,21.472483,-158.213967,0.01,Oahu,2014_OA_0027916, ,21.47248300N,158.21396700W,2382
11,6,2005,21.4734802,-158.2139435,20,Oahu,OA369,Honolulu Fire Dept,21.47348020N,158.21394350W,2383
26,5,2001,21.4734802,-158.2139435,0.1,Oahu,OA368,Honolulu Fire Dept,21.47348020N,158.21394350W,2384
21,8,2018,21.478904,-158.213924,0.1,Oahu,2018_OA_0050152, ,21.47890400N,158.21392400W,2385
7,6,2001,21.4712238,-158.2138977,0.1,Oahu,OA370,Honolulu Fire Dept,21.47122380N,158.21389770W,2386
5,7,2001,21.4713459,-158.2137756,0.4,Oahu,OA371,Honolulu Fire Dept,21.47134590N,158.21377560W,2387
13,9,2001,21.4713459,-158.2137756,0.2,Oahu,OA372,Honolulu Fire Dept,21.47134590N,158.21377560W,2388
27,5,2008,21.4713459,-158.2137756,0.1,Oahu,OA373,Honolulu Fire Dept,21.47134590N,158.21377560W,2389
31,1,2017,21.47136,-158.213771,1,Oahu,2017_OA_0007319, ,21.47136000N,158.21377100W,2390
1,2,2017,21.47136,-158.213771,0.1,Oahu,2017_OA_0007539, ,21.47136000N,158.21377100W,2391
11,8,2018,21.478904,-158.213747,0.01,Oahu,2018_OA_0048046, ,21.47890400N,158.21374700W,2392
18,2,2001,21.4643002,-158.2137451,1,Oahu,OA374,Honolulu Fire Dept,21.46430020N,158.21374510W,2393
7,4,2009,21.4729424,-158.2134552,1.5,Oahu,OA376,Honolulu Fire Dept,21.47294240N,158.21345520W,2394
21,7,2008,21.4729424,-158.2134552,0.5,Oahu,OA375,Honolulu Fire Dept,21.47294240N,158.21345520W,2395
15,8,2002,21.4716892,-158.2134552,0.1,Oahu,OA377,Honolulu Fire Dept,21.47168920N,158.21345520W,2396
17,8,2013,21.47884,-158.213431,0.01,Oahu,2013_OA_0046072, ,21.47884000N,158.21343100W,2397
26,3,2009,21.4726963,-158.2132263,0.1,Oahu,OA378,Honolulu Fire Dept,21.47269630N,158.21322630W,2398
6,10,2002,21.4725723,-158.2131042,0.3,Oahu,OA379,Honolulu Fire Dept,21.47257230N,158.21310420W,2399
27,5,2012,21.472566,-158.213087,0.5,Oahu,2012_OA_0026885, ,21.47256600N,158.21308700W,2400
5,7,2005,21.4640217,-158.2129211,1,Oahu,OA383,Honolulu Fire Dept,21.46402170N,158.21292110W,2401
12,7,2003,21.4640217,-158.2129211,0.1,Oahu,OA381,Honolulu Fire Dept,21.46402170N,158.21292110W,2402
1,9,2003,21.4640217,-158.2129211,0.1,Oahu,OA382,Honolulu Fire Dept,21.46402170N,158.21292110W,2403
