ID,start_date,end_date,acres,location,lattitude,longitude 
1,5/28/2012,6/5/2012,220,Miloli‘i Hikimoe ,22.13,-159.7
2,6/25/2012,7/4/2012,765,Hikimoe Ridge,22.08,-159.68
3,8/17/2012,8/22/2012,3000,P?ki?i Ridge,22.06277,-159.6643
4,3/23/2015,3/23/2015,130,Waimea Canyon,21.98,-159.66
5,6/5/2015,6/9/2015,365,P?ki?i Ridge ,21.97,-159.71
6,5/4/2017,5/18/2017,750,Kapalawai ,21.9695,-159.665
7,6/11/2019,6/12/2019,500, Poipu,21.8761,-159.439
8,,,2000,Kokee Road,22.01,-159.689
